Jesaia	5	20
Jesaia	13	9
Jesaia	13	9
Jesaia	14	23
Jesaia	14	23
Jesaia	21	4
Jesaia	21	4
Jesaia	21	4
Jesaia	23	13
Jesaia	23	13
Jesaia	25	2
Jesaia	25	2
Jesaia	28	17
Jesaia	28	17
Jesaia	41	15
Jesaia	41	15
Jesaia	41	18
Jesaia	41	18
Jesaia	42	12
Jesaia	42	12
Jesaia	42	15
Jesaia	42	15
Jesaia	42	16
Jesaia	42	16
Jesaia	47	6
Jesaia	47	6
Jesaia	49	2
Jesaia	49	2
Jesaia	49	11
Jesaia	49	11
Jesaia	60	15
Jesaia	60	15
Jesaia	61	3
Jesaia	61	3
Jeremia	2	7
Jeremia	2	7
Jeremia	4	7
Jeremia	4	7
Jeremia	5	22
Jeremia	5	22
Jeremia	11	13
Jeremia	11	13
Jeremia	12	11
Jeremia	12	11
Jeremia	13	16
Jeremia	13	16
Jeremia	18	16
Jeremia	18	16
Jeremia	19	8
Jeremia	19	8
Jeremia	19	8
Jeremia	21	10
Jeremia	21	10
Jeremia	24	6
Jeremia	24	6
Jeremia	25	9
Jeremia	25	9
Jeremia	25	9
Jeremia	25	9
Jeremia	25	12
Jeremia	25	12
Jeremia	31	21
Jeremia	31	21
Jeremia	38	12
Jeremia	38	12
Jeremia	43	10
Jeremia	43	10
Jeremia	44	11
Jeremia	44	11
Jeremia	51	29
Jeremia	51	29
Ezechiel	14	8
Ezechiel	14	8
Ezechiel	14	8
Ezechiel	21	24
Ezechiel	21	24
Ezechiel	40	4
Ezechiel	40	4
Ezechiel	44	5
Ezechiel	44	5
Ezechiel	44	8
Ezechiel	44	8
Ezechiel	44	8
Hosea	2	2
Hosea	2	2
Hosea	2	14
Hosea	2	14
Joel	1	7
Joel	1	7
Amos	9	4
Amos	9	4
Micha	1	6
Micha	1	6
Micha	1	6
Micha	4	7
Micha	4	7
Zephania	2	13
Zephania	2	13
Zephania	3	19
Zephania	3	19
Zephania	3	19
Haggai	2	18
Haggai	2	18
Haggai	2	18
Sacharia	7	14
Sacharia	7	14
Sacharia	12	2
Sacharia	12	2
Sacharia	12	3
Sacharia	12	3
Psalmi	18	44
Psalmi	18	44
Psalmi	44	14
Psalmi	44	14
Psalmi	54	5
Psalmi	54	5
Psalmi	79	1
Psalmi	79	1
Psalmi	80	7
Psalmi	80	7
Psalmi	85	14
Psalmi	85	14
Psalmi	86	14
Psalmi	86	14
Psalmi	89	30
Psalmi	89	30
Psalmi	105	21
Psalmi	105	21
Psalmi	107	33
Psalmi	107	33
Psalmi	107	35
Psalmi	107	35
Iob	4	20
Iob	4	20
Iob	5	11
Iob	5	11
Iob	7	20
Iob	7	20
Iob	7	20
Iob	18	2
Iob	18	2
Iob	24	25
Iob	24	25
Iob	28	3
Iob	28	3
Iob	29	9
Iob	29	9
Proverbia	8	29
Proverbia	8	29
Daniel	1	7
Daniel	1	7
Daniel	1	7
Daniel	1	7
Daniel	11	18
Daniel	11	18
Esra	5	3
Esra	5	3
Esra	5	9
Esra	5	9
Esra	6	8
Esra	6	8
Esra	7	21
Esra	7	21
Chronica_I	17	9
Chronica_I	17	9
Chronica_I	17	21
Chronica_I	17	21
Chronica_I	26	10
Chronica_I	26	10
Chronica_II	23	15
Chronica_II	23	15
Chronica_II	33	7
Chronica_II	33	7
